nome_bairro,nome_grupo,desc_atividade,total,n,proporcao
ALTO DO MANDU,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,4655,6,775.8333333333334
DERBY,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,2071,2,1035.5
ZUMBI,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,6033,5,1206.6
CABANGA,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,1551,1,1551
PONTO DE PARADA,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,1554,1,1554
CASA FORTE,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,6750,4,1687.5
ENGENHO DO MEIO,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,10211,6,1701.8333333333333
AFOGADOS,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,36265,16,2266.5625
TORRE,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,17903,7,2557.5714285714284
HIPODROMO,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,2658,1,2658
CORDEIRO,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,41164,15,2744.266666666667
MANGUEIRA,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,8480,3,2826.6666666666665
CASA AMARELA,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,29180,10,2918
JORDAO,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,20777,7,2968.1428571428573
AREIAS,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,29894,10,2989.4
IPUTINGA,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,52200,17,3070.5882352941176
ESTANCIA,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,9240,3,3080
IPSEP,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,25029,8,3128.625
CAJUEIRO,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,6584,2,3292
JIQUIA,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,10245,3,3415
ESPINHEIRO,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,10438,3,3479.3333333333335
SANCHO,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,11199,3,3733
PORTO DA MADEIRA,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,7713,2,3856.5
MUSTARDINHA,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,12429,3,4143
BEBERIBE,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,8856,2,4428
POCO,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,4615,1,4615
MADALENA,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,23082,5,4616.4
VARZEA,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,70453,15,4696.866666666667
BOA VISTA,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,14778,3,4926
GRACAS,EDUCACAO,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,20538,4,5134.5
