nome_bairro,nome_grupo,desc_atividade,total,n,proporcao
TORREAO,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,1083,1,1083
ROSARINHO,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,4077,3,1359
POCO,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,4615,3,1538.3333333333333
ENCRUZILHADA,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,11940,7,1705.7142857142858
TAMARINEIRA,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,14124,7,2017.7142857142858
SOLEDADE,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,2495,1,2495
GRACAS,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,20538,8,2567.25
ZUMBI,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,6033,2,3016.5
SANTANA,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,3054,1,3054
ESPINHEIRO,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,10438,3,3479.3333333333335
ESTANCIA,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,9240,2,4620
ALTO DO MANDU,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,4655,1,4655
BOA VIAGEM,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,122922,24,5121.75
MONTEIRO,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,5917,1,5917
JORDAO,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,20777,3,6925.666666666667
CASA AMARELA,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,29180,4,7295
BOA VISTA,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,14778,2,7389
PARNAMIRIM,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,7636,1,7636
MADALENA,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,23082,3,7694
MANGUEIRA,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,8480,1,8480
TORRE,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,17903,2,8951.5
CAXANGA,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,9634,1,9634
CORDEIRO,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,41164,4,10291
IPUTINGA,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,52200,5,10440
PRADO,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,11694,1,11694
AFOGADOS,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,36265,3,12088.333333333334
MUSTARDINHA,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,12429,1,12429
SAN MARTIN,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,25414,2,12707
PINA,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,29176,2,14588
AREIAS,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,29894,2,14947
CAMPO GRANDE,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,32149,2,16074.5
IMBIRIBEIRA,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,48512,3,16170.666666666666
MACAXEIRA,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,20313,1,20313
VARZEA,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,70453,3,23484.333333333332
IPSEP,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,25029,1,25029
SANTO AMARO,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,27939,1,27939
VASCO DA GAMA,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,31025,1,31025
JARDIM SAO PAULO,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,31648,1,31648
BARRO,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,31847,1,31847
IBURA,BELEZA E HIGIENE PESSOAL,ATIVIDADES DE CONDICIONAMENTO FÍSICO,50617,1,50617
