nome_bairro,n
IMBIRIBEIRA,497
BOA VIAGEM,488
AFOGADOS,324
SAO JOSE,243
CORDEIRO,236
IPSEP,217
IPUTINGA,208
BOA VISTA,196
SANTO AMARO,196
VARZEA,194
CASA AMARELA,176
PINA,157
MADALENA,155
CAMPO GRANDE,128
AREIAS,121
GRACAS,117
ENCRUZILHADA,114
IBURA,110
ESPINHEIRO,102
SANTO ANTONIO,100
TAMARINEIRA,82
JORDAO,73
JARDIM SAO PAULO,71
PRADO,70
SAN MARTIN,69
TORRE,65
RECIFE,62
ZUMBI,60
BARRO,58
ESTANCIA,57
CASA FORTE,56
MUSTARDINHA,55
ENGENHO DO MEIO,51
PARNAMIRIM,47
POCO,42
SOLEDADE,42
CAXANGA,40
JIQUIA,40
BONGI,38
TORROES,38
ILHA DO RETIRO,35
ROSARINHO,28
AFLITOS,27
ALTO DO MANDU,27
CAJUEIRO,26
SANTANA,26
MANGUEIRA,24
ARRUDA,22
HIPODROMO,20
MONTEIRO,20
AGUA FRIA,19
DERBY,19
PONTO DE PARADA,19
CABANGA,17
ILHA DO LEITE,15
PORTO DA MADEIRA,15
MACAXEIRA,14
BEBERIBE,13
VASCO DA GAMA,13
GUABIRABA,12
TEJIPIO,12
TORREAO,12
COELHOS,11
SANCHO,11
APIPUCOS,9
CACOTE,8
JAQUEIRA,8
PAISSANDU,7
CURADO,5
CAMPINA DO BARRETO,4
COHAB,3
NOVA DESCOBERTA,3
PEIXINHOS,3
DOIS IRMAOS,2
FUNDAO,2
LINHA DO TIRO,2
ALTO JOSE BONIFACIO,1
BREJO DE BEBERIBE,1
PASSARINHO,1
SITIO DOS PINTOS,1
