nome_bairro,desc_atividade,nome_grupo,n
SAO JOSE,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,OUTRAS ATIVIDADES VAREJISTAS,93
IMBIRIBEIRA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,CONSERVAÇÃO E LIMPEZA,85
SANTO ANTONIO,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,OUTRAS ATIVIDADES VAREJISTAS,85
BOA VIAGEM,REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",81
BOA VIAGEM,RESTAURANTES E SIMILARES,OUTRAS ATIVIDADES VAREJISTAS,79
BOA VISTA,COMÉRCIO VAREJISTA DE MÓVEIS,OUTRAS ATIVIDADES VAREJISTAS,71
SAO JOSE,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO,OUTRAS ATIVIDADES VAREJISTAS,65
AFOGADOS,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,CONSERVAÇÃO E LIMPEZA,61
BOA VIAGEM,TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL,EDUCACAO,51
IMBIRIBEIRA,REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",51
BOA VIAGEM,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,EDUCACAO,50
BOA VISTA,COMÉRCIO VAREJISTA DE ARTIGOS DE ÓPTICA,OUTRAS ATIVIDADES VAREJISTAS,49
BOA VIAGEM,"CABELEIREIROS, MANICURE E PEDICURE",BELEZA E HIGIENE PESSOAL,45
BOA VIAGEM,CONSTRUÇÃO DE EDIFÍCIOS,CONSTRUCAO CIVIL,45
SAO JOSE,Comercio varejista especializado de equipamentos e suprimentos de informatica,OUTRAS ATIVIDADES VAREJISTAS,45
BOA VIAGEM,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,OUTRAS ATIVIDADES VAREJISTAS,43
BOA VIAGEM,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",OUTRAS ATIVIDADES VAREJISTAS,42
IMBIRIBEIRA,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS",42
IMBIRIBEIRA,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PROD PERIGOSOS E MUDANÇAS, MUNICIPAL",TRANSPORTE E COMUNICACAO,42
SAO JOSE,REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",42
IPSEP,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,CONSERVAÇÃO E LIMPEZA,41
SAO JOSE,COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA,OUTRAS ATIVIDADES VAREJISTAS,41
BOA VISTA,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,OUTRAS ATIVIDADES VAREJISTAS,40
BOA VISTA,REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",39
IPSEP,REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",39
SANTO ANTONIO,Comercio varejista especializado de equipamentos e suprimentos de informatica,OUTRAS ATIVIDADES VAREJISTAS,38
SAO JOSE,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",OUTRAS ATIVIDADES VAREJISTAS,38
CORDEIRO,REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",37
MADALENA,"COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS","ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS",37
SAO JOSE,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS",37
IMBIRIBEIRA,CONSTRUÇÃO DE EDIFÍCIOS,CONSTRUCAO CIVIL,36
BOA VIAGEM,PROMOÇÃO DE VENDAS,OUTROS SERVICOS,35
BOA VISTA,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",OUTRAS ATIVIDADES VAREJISTAS,35
BOA VIAGEM,"ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, EXC CONSULT TÉCNICA ESPECÍFICA","CONTABILIDADE, CONSULTORIA E ASSESSORIA",34
IMBIRIBEIRA,Comercio varejista especializado de equipamentos e suprimentos de informatica,OUTRAS ATIVIDADES VAREJISTAS,34
SANTO ANTONIO,RESTAURANTES E SIMILARES,OUTRAS ATIVIDADES VAREJISTAS,34
SANTO AMARO,RESTAURANTES E SIMILARES,OUTRAS ATIVIDADES VAREJISTAS,33
MADALENA,CONSTRUÇÃO DE EDIFÍCIOS,CONSTRUCAO CIVIL,32
BOA VIAGEM,Comercio varejista especializado de equipamentos e suprimentos de informatica,OUTRAS ATIVIDADES VAREJISTAS,31
BOA VIAGEM,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,INDUSTRIA GERAL,31
BOA VIAGEM,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",OUTRAS ATIVIDADES VAREJISTAS,31
BOA VIAGEM,HOTÉIS,"TURISMO, HOSPEDAGEM E ASSEMELHADOS",30
BOA VIAGEM,"REPRESENTANTES COM E AGENTES DO COM DE TÊXTEIS, VEST, CALÇADOS E ART DE VIAGEM","REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",30
CORDEIRO,Comercio varejista especializado de equipamentos e suprimentos de informatica,OUTRAS ATIVIDADES VAREJISTAS,30
IMBIRIBEIRA,COMÉRCIO POR ATACADO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,COMERCIO ATACADISTA,30
BOA VIAGEM,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,CONSERVAÇÃO E LIMPEZA,29
BOA VISTA,RESTAURANTES E SIMILARES,OUTRAS ATIVIDADES VAREJISTAS,29
SANTO ANTONIO,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",OUTRAS ATIVIDADES VAREJISTAS,29
AFOGADOS,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS",28
AFOGADOS,REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",28
BOA VIAGEM,ALUGUEL DE IMÓVEIS PRÓPRIOS,OUTROS SERVICOS,28
BOA VIAGEM,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,CONSTRUCAO CIVIL,28
SANTO AMARO,SERVIÇOS ADVOCATÍCIOS,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO",28
AFOGADOS,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",OUTRAS ATIVIDADES VAREJISTAS,27
BOA VIAGEM,"BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL",INSTITUICOES FINANCEIRAS E SECURITARIAS,27
BOA VISTA,Comercio varejista especializado de equipamentos e suprimentos de informatica,OUTRAS ATIVIDADES VAREJISTAS,27
IPUTINGA,REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",27
SANTO AMARO,ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SOCIAIS,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",27
SANTO AMARO,REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",27
AFOGADOS,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",OUTRAS ATIVIDADES VAREJISTAS,26
BOA VISTA,ATIVIDADES DE ORGANIZAÇÕES SINDICAIS,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",26
CASA AMARELA,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,EDUCACAO,26
CORDEIRO,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,CONSERVAÇÃO E LIMPEZA,26
MADALENA,"COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS USADOS","ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS",26
SANTO AMARO,ATIVIDADES DE ORGANIZAÇÕES SINDICAIS,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",26
SANTO AMARO,CONSTRUÇÃO DE EDIFÍCIOS,CONSTRUCAO CIVIL,26
CORDEIRO,CONSTRUÇÃO DE EDIFÍCIOS,CONSTRUCAO CIVIL,25
GRACAS,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,EDUCACAO,25
IMBIRIBEIRA,"TRANSP RODOV DE CARGA, EXC PROD PERIG E MUDAN, INTERMUN, INTEREST E INTERNACIONAL",TRANSPORTE E COMUNICACAO,25
SAO JOSE,Comercio a varejo de peças e acessórios novos para motocicletas e motonetas,OUTRAS ATIVIDADES VAREJISTAS,25
BOA VIAGEM,ATIVIDADES DE CONDICIONAMENTO FÍSICO,BELEZA E HIGIENE PESSOAL,24
BOA VIAGEM,Edição de jornais não diários,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",24
BOA VISTA,ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SOCIAIS,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",24
ESPINHEIRO,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,OUTRAS ATIVIDADES VAREJISTAS,24
SAO JOSE,COMÉRCIO VAREJISTA DE ARTIGOS DE VIAGEM,OUTRAS ATIVIDADES VAREJISTAS,24
SAO JOSE,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO,OUTRAS ATIVIDADES VAREJISTAS,24
BOA VIAGEM,"SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS","JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO",23
ESPINHEIRO,RESTAURANTES E SIMILARES,OUTRAS ATIVIDADES VAREJISTAS,23
IPSEP,Comercio varejista especializado de equipamentos e suprimentos de informatica,OUTRAS ATIVIDADES VAREJISTAS,23
IPUTINGA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,CONSERVAÇÃO E LIMPEZA,23
MADALENA,RESTAURANTES E SIMILARES,OUTRAS ATIVIDADES VAREJISTAS,23
SANTO AMARO,ADMINISTRAÇÃO PÚBLICA EM GERAL,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",23
SANTO AMARO,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,CONSERVAÇÃO E LIMPEZA,23
SANTO ANTONIO,REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",23
VARZEA,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",OUTRAS ATIVIDADES VAREJISTAS,23
BOA VIAGEM,AGÊNCIAS DE VIAGENS,"TURISMO, HOSPEDAGEM E ASSEMELHADOS",22
BOA VIAGEM,SEDES DE EMPRESAS E UNIDADES ADMINISTRATIVAS LOCAI,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO",22
CASA AMARELA,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",OUTRAS ATIVIDADES VAREJISTAS,22
CORDEIRO,RESTAURANTES E SIMILARES,OUTRAS ATIVIDADES VAREJISTAS,22
GRACAS,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",OUTRAS ATIVIDADES VAREJISTAS,22
IMBIRIBEIRA,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",OUTRAS ATIVIDADES VAREJISTAS,22
IMBIRIBEIRA,RESTAURANTES E SIMILARES,OUTRAS ATIVIDADES VAREJISTAS,22
IMBIRIBEIRA,SEDES DE EMPRESAS E UNIDADES ADMINISTRATIVAS LOCAI,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO",22
MADALENA,Comercio varejista especializado de equipamentos e suprimentos de informatica,OUTRAS ATIVIDADES VAREJISTAS,22
PINA,RESTAURANTES E SIMILARES,OUTRAS ATIVIDADES VAREJISTAS,22
PINA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,CONSERVAÇÃO E LIMPEZA,22
SANTO AMARO,Comercio varejista especializado de equipamentos e suprimentos de informatica,OUTRAS ATIVIDADES VAREJISTAS,22
SAO JOSE,RESTAURANTES E SIMILARES,OUTRAS ATIVIDADES VAREJISTAS,22
BOA VIAGEM,ATIVIDADES DE ORGANIZAÇÕES RELIGIOSAS OU FILOSOFICAS,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",21
BOA VIAGEM,OUTROS REPRESENTANTES COM E AGENTES DO COM ESP EM PROD N/ ESP ANTERIORMENTE,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",21
CASA AMARELA,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS",OUTRAS ATIVIDADES VAREJISTAS,21
IPUTINGA,CONSTRUÇÃO DE EDIFÍCIOS,CONSTRUCAO CIVIL,21
PINA,REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",21
BOA VIAGEM,"ATIVIDADES DE PÓS-PRODUÇÃO CINEMATOGRÁF, DE VÍDEOS E DE PROG DE TELEV N/ ESP ANTER","FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",20
BOA VIAGEM,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",OUTRAS ATIVIDADES VAREJISTAS,20
BOA VIAGEM,"COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",OUTRAS ATIVIDADES VAREJISTAS,20
BOA VIAGEM,COMERCIO VAREJISTA DE MERCADORIAS EM LOJAS DE CONVENIENCIA,OUTRAS ATIVIDADES VAREJISTAS,20
BOA VISTA,"ATIVIDADES DE ATEND HOSPITALAR, EXC PRONTO-SOCORRO E UNIDADES P/ ATEND A URGÊNCIAS",SAUDE,20
GRACAS,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,OUTRAS ATIVIDADES VAREJISTAS,20
IPSEP,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",OUTRAS ATIVIDADES VAREJISTAS,20
MADALENA,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,OUTRAS ATIVIDADES VAREJISTAS,20
MADALENA,REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",20
SANTO ANTONIO,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO,OUTRAS ATIVIDADES VAREJISTAS,20
SANTO ANTONIO,COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIP DE ÁUDIO E VÍDEO,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS",20
SAO JOSE,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",OUTRAS ATIVIDADES VAREJISTAS,20
SAO JOSE,"COMÉRCIO ATACADISTA DE ARTIGOS DO VESTUÁR E ACESSÓRIOS, EXC PROF E DE SEGURANÇA",COMERCIO ATACADISTA,20
SAO JOSE,COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS,OUTRAS ATIVIDADES VAREJISTAS,20
VARZEA,REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",20
BOA VIAGEM,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS",OUTRAS ATIVIDADES VAREJISTAS,19
BOA VIAGEM,LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR,GUARDA E LOCACAO DE BENS MOVEIS,19
BOA VIAGEM,SERVIÇOS ADVOCATÍCIOS,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO",19
BOA VISTA,ATIVIDADE MÉDICA AMBULATORIAL COM RECURSOS P/ REALIZ DE EXAMES COMPLEMENTARES,SAUDE,19
CAMPO GRANDE,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",OUTRAS ATIVIDADES VAREJISTAS,19
