nome_bairro,nome_grupo,desc_atividade,total,n
SAO JOSE,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,8688,93
IMBIRIBEIRA,CONSERVAÇÃO E LIMPEZA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,48512,85
SANTO ANTONIO,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,285,85
BOA VIAGEM,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,122922,81
BOA VIAGEM,OUTRAS ATIVIDADES VAREJISTAS,RESTAURANTES E SIMILARES,122922,79
BOA VISTA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE MÓVEIS,14778,71
SAO JOSE,OUTRAS ATIVIDADES VAREJISTAS,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO,8688,65
AFOGADOS,CONSERVAÇÃO E LIMPEZA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,36265,61
BOA VIAGEM,EDUCACAO,TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL,122922,51
IMBIRIBEIRA,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,48512,51
BOA VIAGEM,EDUCACAO,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,122922,50
BOA VISTA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DE ÓPTICA,14778,49
BOA VIAGEM,BELEZA E HIGIENE PESSOAL,"CABELEIREIROS, MANICURE E PEDICURE",122922,45
BOA VIAGEM,CONSTRUCAO CIVIL,CONSTRUÇÃO DE EDIFÍCIOS,122922,45
SAO JOSE,OUTRAS ATIVIDADES VAREJISTAS,Comercio varejista especializado de equipamentos e suprimentos de informatica,8688,45
BOA VIAGEM,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,122922,43
BOA VIAGEM,OUTRAS ATIVIDADES VAREJISTAS,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",122922,42
IMBIRIBEIRA,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS",COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,48512,42
IMBIRIBEIRA,TRANSPORTE E COMUNICACAO,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PROD PERIGOSOS E MUDANÇAS, MUNICIPAL",48512,42
SAO JOSE,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,8688,42
IPSEP,CONSERVAÇÃO E LIMPEZA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,25029,41
SAO JOSE,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA,8688,41
BOA VISTA,OUTRAS ATIVIDADES VAREJISTAS,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,14778,40
BOA VISTA,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,14778,39
IPSEP,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,25029,39
SANTO ANTONIO,OUTRAS ATIVIDADES VAREJISTAS,Comercio varejista especializado de equipamentos e suprimentos de informatica,285,38
SAO JOSE,OUTRAS ATIVIDADES VAREJISTAS,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",8688,38
CORDEIRO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,41164,37
MADALENA,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS","COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS",23082,37
SAO JOSE,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS",COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,8688,37
IMBIRIBEIRA,CONSTRUCAO CIVIL,CONSTRUÇÃO DE EDIFÍCIOS,48512,36
BOA VIAGEM,OUTROS SERVICOS,PROMOÇÃO DE VENDAS,122922,35
BOA VISTA,OUTRAS ATIVIDADES VAREJISTAS,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",14778,35
BOA VIAGEM,"CONTABILIDADE, CONSULTORIA E ASSESSORIA","ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, EXC CONSULT TÉCNICA ESPECÍFICA",122922,34
IMBIRIBEIRA,OUTRAS ATIVIDADES VAREJISTAS,Comercio varejista especializado de equipamentos e suprimentos de informatica,48512,34
SANTO ANTONIO,OUTRAS ATIVIDADES VAREJISTAS,RESTAURANTES E SIMILARES,285,34
SANTO AMARO,OUTRAS ATIVIDADES VAREJISTAS,RESTAURANTES E SIMILARES,27939,33
MADALENA,CONSTRUCAO CIVIL,CONSTRUÇÃO DE EDIFÍCIOS,23082,32
BOA VIAGEM,INDUSTRIA GERAL,Fabricacao de produtos de padaria e confeitaria com predominancia de producao propria,122922,31
BOA VIAGEM,OUTRAS ATIVIDADES VAREJISTAS,Comercio varejista especializado de equipamentos e suprimentos de informatica,122922,31
BOA VIAGEM,OUTRAS ATIVIDADES VAREJISTAS,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",122922,31
BOA VIAGEM,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM","REPRESENTANTES COM E AGENTES DO COM DE TÊXTEIS, VEST, CALÇADOS E ART DE VIAGEM",122922,30
BOA VIAGEM,"TURISMO, HOSPEDAGEM E ASSEMELHADOS",HOTÉIS,122922,30
CORDEIRO,OUTRAS ATIVIDADES VAREJISTAS,Comercio varejista especializado de equipamentos e suprimentos de informatica,41164,30
IMBIRIBEIRA,COMERCIO ATACADISTA,COMÉRCIO POR ATACADO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,48512,30
BOA VIAGEM,CONSERVAÇÃO E LIMPEZA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,122922,29
BOA VISTA,OUTRAS ATIVIDADES VAREJISTAS,RESTAURANTES E SIMILARES,14778,29
SANTO ANTONIO,OUTRAS ATIVIDADES VAREJISTAS,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",285,29
AFOGADOS,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS",COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,36265,28
AFOGADOS,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,36265,28
BOA VIAGEM,CONSTRUCAO CIVIL,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,122922,28
BOA VIAGEM,OUTROS SERVICOS,ALUGUEL DE IMÓVEIS PRÓPRIOS,122922,28
SANTO AMARO,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO",SERVIÇOS ADVOCATÍCIOS,27939,28
AFOGADOS,OUTRAS ATIVIDADES VAREJISTAS,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",36265,27
BOA VIAGEM,INSTITUICOES FINANCEIRAS E SECURITARIAS,"BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL",122922,27
BOA VISTA,OUTRAS ATIVIDADES VAREJISTAS,Comercio varejista especializado de equipamentos e suprimentos de informatica,14778,27
IPUTINGA,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,52200,27
