nome_bairro,desc_atividade,nome_grupo,n
VARZEA,"COM VAR DE MERC EM GERAL, COM PREDOM DE PROD ALIM - MINIMERC, MERC E ARMAZÉNS",OUTRAS ATIVIDADES VAREJISTAS,23
VARZEA,REPRESENTANTES COMERCIAIS E AGENTES DO COM DE MERCAD EM GERAL N/ ESPECIALIZADO,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",20
VARZEA,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,CONSERVAÇÃO E LIMPEZA,19
VARZEA,Comercio varejista especializado de equipamentos e suprimentos de informatica,OUTRAS ATIVIDADES VAREJISTAS,18
VARZEA,OUTRAS ATIVIDADES DE ENSINO NÃO ESPECIFICADAS ANTERIORMENTE,EDUCACAO,16
VARZEA,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA,EDUCACAO,15
VARZEA,TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL,EDUCACAO,15
VARZEA,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,OUTRAS ATIVIDADES VAREJISTAS,12
VARZEA,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES",OUTRAS ATIVIDADES VAREJISTAS,12
VARZEA,RESTAURANTES E SIMILARES,OUTRAS ATIVIDADES VAREJISTAS,12
VARZEA,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PROD PERIGOSOS E MUDANÇAS, MUNICIPAL",TRANSPORTE E COMUNICACAO,12
VARZEA,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS",OUTRAS ATIVIDADES VAREJISTAS,10
VARZEA,CONSTRUÇÃO DE EDIFÍCIOS,CONSTRUCAO CIVIL,9
VARZEA,ATIVIDADES DE ASSOCIAÇÕES DE DEFESA DE DIREITOS SOCIAIS,"SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS",8
VARZEA,COMÉRCIO VAREJISTA DE BEBIDAS,OUTRAS ATIVIDADES VAREJISTAS,8
VARZEA,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA,CONSERVAÇÃO E LIMPEZA,8
VARZEA,COM VAREJ DE PROD ALIMENT EM GERAL OU ESPECIALIZ EM PROD ALIMENT N/ ESP ANTERIORM,OUTRAS ATIVIDADES VAREJISTAS,7
